nct_id,nct_id_original,pt_cohort,include,concept_id,concept_name,domain,negation,concept_group_id,start_index,end_index,entity_source_text,temporal_source_text,before_days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion,to_display
NCT04334148,NCT04334148,1,0,1354860,Flecainide,Drug,0,870845874,1074,1084,flecainide,"",0,"",-99999,99999,1,1
NCT04371393,NCT04371393,1,1,4195694,Acute respiratory distress syndrome,Condition,0,870929274,963,967,ARDS,"",0,"",-99999,99999,0,1
NCT04357730,NCT04357730,1,0,318450,Cardiac tamponade,Condition,0,,1409,1426,Cardiac tamponade,within the past 5 years,1825,"",-99999,99999,1,1
NCT04367831,NCT04367831,1,0,432585,Blood coagulation disorder,Condition,0,870922274,1948,1977,congenital bleeding diatheses,"",0,"",-99999,99999,1,1
NCT04393558,NCT04393558,1,1,4164633,Clouded consciousness,Condition,0,870965974,214,223,confusion,"",0,"",-99999,99999,0,1
NCT04410354,NCT04410354,1,1,4164633,Clouded consciousness,Condition,0,870985474,254,263,confusion,"",0,"",-99999,99999,0,1
NCT04361214,NCT04361214,1,1,439727,Human immunodeficiency virus infection,Condition,0,,1566,1579,HIV infection,History of,0,"",-99999,99999,0,1
NCT04350450,NCT04350450,1,1,316866,Hypertensive disorder,Condition,0,870881374,237,240,HTN,"",0,"",-99999,99999,0,1
NCT04280705,NCT04280705,1,1,4192174,Illness,Condition,0,,969,976,Illness,any duration,0,"",-99999,99999,0,1
NCT04399252,NCT04399252,1,0,764796,Complex congenital heart defect,Condition,0,870970374,1673,1696,Congenital heart defect,"",0,"",-99999,99999,1,1
NCT04348500,NCT04348500,1,1,317376,Tachypnea,Condition,0,870879474,436,445,tachypnea,"",0,"",-99999,99999,0,1
NCT04374552,NCT04374552,1,0,21603080,fluconazole,Drug,0,870940174,519,530,Fluconazole,Current,10000,"",-99999,99999,1,1
NCT04345614,NCT04345614,1,1,254761,Cough,Condition,0,870871774,177,182,cough,"",0,"",-99999,99999,0,1
NCT04351620,NCT04351620,1,1,201820,Diabetes mellitus,Condition,0,870884474,933,941,diabetes,> 72h,0,"",-99999,99999,0,1
NCT04305457,NCT04305457,1,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,44,61,COVID19 infection,for more than 72 hours,3,"",-99999,99999,0,0
NCT04380948,NCT04380948,1,0,44014930,Flumist,Drug,0,870949474,2246,2253,FluMist,"",0,"",-99999,99999,1,1
NCT04345692,NCT04345692,1,1,4167669,Respiratory crackles,Condition,0,870873574,529,537,crackles,"",0,"",-99999,99999,0,1
NCT03808922,NCT03808922_covid19sub,1,1,4310328,Blood oxygen saturation,Measurement,0,870808174,187,191,SpO2,"",0,<92%,-99999,92,0,1
NCT04308668,NCT04308668,1,0,755695,Fluoxetine,Drug,0,870819374,1214,1224,fluoxetine,"",0,"",-99999,99999,1,1
NCT04374552,NCT04374552,1,0,43534855,Fluoroquinolones,Drug,0,870940174,616,631,Fluroquinolones,Current,10000,"",-99999,99999,1,1
NCT04363437,NCT04363437,1,0,1736829,fosamprenavir,Drug,0,,1721,1734,fosamprenavir,"",0,"",-99999,99999,1,1
NCT04334967,NCT04334967,1,0,21603564,fusidic acid,Drug,0,870849574,1283,1295,fusidic acid,Concomitant,0,"",-99999,99999,1,1
NCT04341441,NCT04341441,1,0,21603564,fusidic acid,Drug,0,870861374,2113,2136,Fusidic Acid (Systemic),"",0,"",-99999,99999,1,1
NCT04346615,NCT04346615,1,0,35200800,galcanezumab,Drug,0,870874274,2168,2180,galcanezumab,"",0,"",-99999,99999,1,1
NCT04345614,NCT04345614,1,0,21603283,Glucocorticoids,Drug,0,,2412,2427,Glucocorticoids,Current,10000,"",-99999,99999,1,1
NCT04351152,NCT04351152,1,0,4350875,Granulocyte-Macrophage Colony-Stimulating Factor,Drug,0,870883174,1382,1395,GM-CSF agents,within prior 2 months of randomization,60,"",-99999,99999,1,1
NCT04363866,NCT04363866,1,1,1777087,Hydroxychloroquine,Drug,1,870915674,657,675,hydroxychloroquine,"",0,"",-99999,99999,1,1
NCT04377620,NCT04377620,1,0,9999,GM-CSF antagonists,Drug,0,870944574,1373,1391,GM-CSF antagonists,within 7 days of randomization,7,"",-99999,99999,1,1
NCT04391309,NCT04391309,1,0,44041509,golimumab 100 MG/ML [Simpon],Drug,0,870963374,2114,2133,golimumab (Simponi),treatment within 30 days,30,"",-99999,99999,1,1
NCT04308668,NCT04308668,1,0,766529,Haloperidol,Drug,0,870819474,1289,1300,haloperidol,"",0,"",-99999,99999,1,1
NCT04354428,NCT04354428,1,0,1777087,Hydroxychloroquine,Drug,0,,1383,1386,HCQ,History of,0,"",-99999,99999,1,1
NCT04369742,NCT04369742,1,0,1777087,Hydroxychloroquine,Drug,0,870926274,1007,1010,HCQ,within the 30 days prior to the start of the study drug treatment,30,"",-99999,99999,1,1
NCT04356690,NCT04356690,1,1,4322628,D-dimer assay,Measurement,0,870896874,261,268,d-dimer,"",0,>1000 ng/mL,1000,99999,0,1
NCT04331795,NCT04331795_A,1,0,4141224,Diverticulitis,Condition,0,870839474,2524,2538,diverticulitis,history of,0,"",-99999,99999,1,1
NCT04334148,NCT04334148,1,0,1777087,Hydroxychloroquine,Drug,0,870846074,1348,1366,Hydroxychloroquine,Current,10000,"",-99999,99999,1,1
NCT04334382,NCT04334382,1,0,1777087,Hydroxychloroquine,Drug,0,,235,253,hydroxychloroquine,History of,0,"",-99999,99999,1,1
NCT04335552,NCT04335552,1,0,1777087,Hydroxychloroquine,Drug,0,,1076,1094,hydroxychloroquine,within 48 hours of enrollment,2,"",-99999,99999,1,1
NCT04341727,NCT04341727,1,0,1777087,Hydroxychloroquine,Drug,0,870862174,891,909,hydroxychloroquine,Current,10000,"",-99999,99999,1,1
NCT04342169,NCT04342169,1,0,1777087,Hydroxychloroquine,Drug,0,870862974,204,222,hydroxychloroquine,"",0,"",-99999,99999,1,1
NCT04344444,NCT04344444,1,0,1777087,Hydroxychloroquine,Drug,0,,1115,1133,hydroxychloroquine,"",0,"",-99999,99999,1,1
NCT04352946,NCT04352946,1,0,1777087,Hydroxychloroquine,Drug,0,,572,590,hydroxychloroquine,Current,10000,"",-99999,99999,1,1
NCT04352946,NCT04352946,1,0,1777087,Hydroxychloroquine,Drug,0,870886174,1144,1162,hydroxychloroquine,<4 weeks prior to study,28,"",-99999,99999,1,1
NCT04353271,NCT04353271,1,0,1777087,Hydroxychloroquine,Drug,0,870890374,689,707,hydroxychloroquine,Current,10000,"",-99999,99999,1,1
NCT04356690,NCT04356690,1,0,1777087,Hydroxychloroquine,Drug,0,870897374,1314,1332,Hydroxychloroquine,at least 24 hours prior to randomization,1,"",-99999,99999,1,1
NCT04358068,NCT04358068,1,0,1777087,Hydroxychloroquine,Drug,0,870901474,1365,1383,hydroxychloroquine,within 30 days prior to study entry,30,"",-99999,99999,1,1
NCT04363203,NCT04363203,1,0,1777087,Hydroxychloroquine,Drug,0,,1700,1718,hydroxychloroquine,in past 2 years,730,"",-99999,99999,1,1
NCT04363203,NCT04363203,1,0,1777087,Hydroxychloroquine,Drug,0,870912474,747,765,hydroxychloroquine,"",0,"",-99999,99999,1,1
NCT04401436,NCT04401436,1,1,4021125,Oxygen measurement,Measurement,0,870974074,327,346,oxygen requirements,"",0,>4L,4,99999,0,1
NCT04399980,NCT04399980,1,1,9999,Serum inflammatory markers,Measurement,0,870970874,432,457,serum inflammatory marker,"",0,Increased,-99999,99999,0,1
NCT04353037,NCT04353037_covid19,1,0,4171296,Allergy to hydroxychloroquine,Condition,0,,1810,1839,Allergy to hydroxychloroquine,within four days prior to time of enrollment,4,"",-99999,99999,1,1
NCT04353037,NCT04353037_healthcare,2,0,4171296,Allergy to hydroxychloroquine,Condition,0,,1810,1839,Allergy to hydroxychloroquine,currently,10000,"",-99999,99999,1,1
NCT04372017,NCT04372017_A,1,0,4171296,Allergy to hydroxychloroquine,Condition,0,870930574,2309,2338,allergy to hydroxychloroquine,"",0,"",-99999,99999,1,1
NCT04347954,NCT04347954,1,0,4170492,Allergy to iodophore,Condition,0,870877274,106,123,Allergy to iodine,"",0,"",-99999,99999,1,1
NCT04408222,NCT04408222,1,0,436222,Altered mental status,Condition,0,,411,432,Altered mental status,"",0,"",-99999,99999,1,1
NCT04283461,NCT04283461,1,0,378419,Alzheimer's disease,Condition,0,870815874,7902,7921,Alzheimer's disease,in the past 5 years,1825,"",-99999,99999,1,1
NCT04353206,NCT04353206,1,0,377845,Anoxic encephalopathy,Condition,0,870889474,724,743,anoxic brain injury,"",0,"",-99999,99999,1,1
NCT04356937,NCT04356937,1,0,432545,Bacterial infectious disease,Condition,0,870897774,1722,1769,bacterial infection,with < 1 month of treatment,30,> 500 ng/ml,500,99999,1,1
NCT04417673,NCT04417673,1,0,443723,Disorder of cellular component of blood,Condition,0,870992274,642,656,blood disorder,"",0,"",-99999,99999,1,1
NCT04333225,NCT04333225,1,0,443723,Disorder of cellular component of blood,Condition,0,,1343,1358,blood disorders,history of,0,"",-99999,99999,1,1
NCT04361552,NCT04361552,1,0,4331364,Candidemia,Condition,0,870909074,996,1006,candidemia,"",0,"",-99999,99999,1,1
NCT04382391,NCT04382391,1,0,4153380,Disorder of carotid artery,Condition,0,870952474,1129,1151,carotid artery disease,within past 90 days,90,"",-99999,99999,1,1
NCT04380961,NCT04380961,1,0,319835,Congestive heart failure,Condition,0,870950074,2424,2461,Class 4 congestive heart failure,within 6 months prior to randomization,180,>1.5*ULN,1.5,99999,1,1
NCT04329923,NCT04329923_3,3,0,319835,Congestive heart failure,Condition,0,870837874,4071,4095,congestive heart failure,Current  ,10000,"",-99999,99999,1,1
NCT04411147,NCT04411147_survivor,2,0,254761,Cough,Condition,0,870987074,2398,2403,cough,in the past 14 days,14,"",-99999,99999,1,1
NCT04363203,NCT04363203,1,0,4171312,Allergy to azithromycin,Condition,0,870912974,1727,1751,allergic to azithromycin,"",0,"",-99999,99999,1,1
NCT04306393,NCT04306393,1,0,4130717,Neurological deficit,Condition,0,,938,966,deficit in cerebral function,at the time of enrollment,10000,"",-99999,99999,1,1
NCT04363203,NCT04363203,1,0,4171296,Allergy to hydroxychloroquine,Condition,0,870912974,1727,1777,allergic to hydroxychloroquine,"",0,"",-99999,99999,1,1
NCT04335084,NCT04335084,1,0,196523,Diarrhea,Condition,0,870850174,938,946,Diarrhea,prior to the start of treatment,0,"",-99999,99999,1,1
NCT04283461,NCT04283461,1,0,441202,Anaphylaxis,Condition,0,870816274,9767,9778,anaphylaxis,history of,0,"",-99999,99999,1,1
NCT04338074,NCT04338074,1,0,432585,Blood coagulation disorder,Condition,0,870855074,150,176,hypercoagulation disorders,History of,0,"",-99999,99999,1,1
NCT04382625,NCT04382625,1,1,4306572,Hypoxia,Condition,0,870953174,147,154,hypoxia,"",0,"",-99999,99999,0,1
NCT04365257,NCT04365257,1,0,1398937,Clonidine,Drug,0,870919374,1298,1307,clonidine,"",0,"",-99999,99999,1,1
NCT04353037,NCT04353037_healthcare,2,0,432250,Disorder due to infection,Condition,0,870888774,2723,2741,infectious disease,"",0,"",-99999,99999,1,1
NCT04363450,NCT04363450,1,0,4030518,Renal impairment,Condition,0,,378,392,Kidney failure,History of,0,"",-99999,99999,1,1
NCT04353037,NCT04353037_covid19,1,0,4305376,Porphyria,Condition,0,870887674,2345,2354,porphyria,"",0,"",-99999,99999,1,1
NCT04328012,NCT04328012_3,3,0,434610,Hyperkalemia,Condition,0,870832074,2033,2045,Hyperkalemia,history of,0,"",-99999,99999,1,1
NCT04342897,NCT04342897,1,0,4299535,Patient currently pregnant,Condition,0,870864274,294,302,pregnant,"",0,"",-99999,99999,1,0
NCT04283461,NCT04283461,1,0,140673,Hypothyroidism,Condition,0,870815974,8116,8130,hypothyroidism,history of,0,"",-99999,99999,1,1
NCT04373044,NCT04373044,1,0,4281232,Type B viral hepatitis,Condition,0,870937274,3236,3262,infection with hepatitis B,"",0,"",-99999,99999,1,1
NCT04328012,NCT04328012_1,1,0,31967,Nausea,Condition,0,870830574,496,502,Nausea,"",0,"",-99999,99999,1,1
NCT04368728,NCT04368728_3,3,0,9999,Allergy to study medication,Condition,0,870925374,1064,1149,severe allergic reaction to any component of the study intervention,"",0,"",-99999,99999,1,1
NCT04389710,NCT04389710,1,1,4256228,Respiratory failure,Condition,0,870959274,694,713,Respiratory failure,"",0,"",-99999,99999,0,1
NCT04373044,NCT04373044,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,870937174,2965,2987,immunomodulatory drugs,within 14 days prior to enrollment,14,"",-99999,99999,1,1
NCT04377620,NCT04377620,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,870944674,1569,1591,immunomodulatory drugs,"",0,"",-99999,99999,1,1
NCT04322682,NCT04322682,1,0,201965,Shock,Condition,0,870827174,1477,1482,shock,currently,10000,"",-99999,99999,1,1
NCT04336332,NCT04336332,1,0,437894,Ventricular fibrillation,Condition,0,870852274,840,842,VF,"",0,"",-99999,99999,1,1
NCT04348370,NCT04348370,1,0,4240565,Solid tumor configuration,Condition,0,870878874,1447,1476,solid malignancy,within the prior two years,730,"",-99999,99999,1,1
NCT04352985,NCT04352985,1,0,4164999,Allergy to polymyxin B,Condition,0,,2633,2664,hypersensitivity to Polymyxin B,within the past 7 days,7,"",-99999,99999,1,1
NCT04399252,NCT04399252,1,0,42872871,Hemodialysis catheter,Device,0,870970374,1825,1847,hemodialysis catheters,"",0,"",-99999,99999,1,1
NCT04359836,NCT04359836,1,0,4148230,Ostomy appliance,Device,0,870905374,455,469,ileoanal pouch,"",0,"",-99999,99999,1,1
NCT04328961,NCT04328961,1,1,4248093,Personal protective equipment,Device,1,870833674,514,533,personal protection,"",0,"",-99999,99999,1,1
NCT04354428,NCT04354428,1,0,4280677,Stent,Device,0,870892374,1913,1918,stent,"",0,"",-99999,99999,1,1
NCT04333225,NCT04333225,1,0,1750461,Praziquantel,Drug,0,870843074,1892,1904,praziquantel,"",0,"",-99999,99999,1,1
NCT04369742,NCT04369742,1,0,1309944,Amiodarone,Drug,0,870926574,1547,1557,amiodarone,"",0,"",-99999,99999,1,1
NCT04399980,NCT04399980,1,0,40171288,tocilizumab,Drug,0,870972174,2167,2178,tocilizumab,within 4 weeks,28,"",-99999,99999,1,1
NCT04343976,NCT04343976,1,0,21600961,Antithrombotic Agents,Drug,0,,1097,1110,anticoagulant,within 48 hours of randomization,2,"",-99999,99999,1,1
NCT04370782,NCT04370782,1,0,21602796,Antibacterials for Systemic Use,Drug,0,,1097,1118,antimicrobial therapy,History of,0,"",-99999,99999,1,1
NCT04336410,NCT04336410,1,0,21601864,Fibrates,Drug,0,870852474,2184,2216,biologic disease-modifying drugs,history of,0,"",-99999,99999,1,1
NCT04331795,NCT04331795_A,1,0,21603890,Immunosuppressants,Drug,0,,2239,2271,biologic immunosuppressive agent,history of,0,"",-99999,99999,1,1
NCT04346615,NCT04346615,1,0,35200577,fremanezumab,Drug,0,870874274,2190,2202,fremanezumab,"",0,"",-99999,99999,1,1
NCT04370782,NCT04370782,1,0,1777087,Hydroxychloroquine,Drug,0,870928374,1217,1235,hydroxychloroquine,within 1 month,30,"",-99999,99999,1,1
NCT04373044,NCT04373044,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,870937174,3015,3041,immunomodulatory biologics,within 14 days prior to enrollment,14,"",-99999,99999,1,1
NCT04320615,NCT04320615,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,,662,684,immunomodulatory drugs,at screening,0,"",-99999,99999,1,1
NCT04341116,NCT04341116,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,870860674,1739,1761,immunomodulatory drugs,"",0,"",-99999,99999,1,1
NCT04358549,NCT04358549,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,,848,870,immunomodulatory drugs,at the time of study entry,10000,"",-99999,99999,1,1
NCT04362137,NCT04362137,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,870910274,1677,1699,immunomodulatory drugs,"",0,"",-99999,99999,1,1
NCT04363736,NCT04363736,1,0,21601386,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Drug,0,870915274,1589,1611,immunomodulatory drugs,within the past 3 months,90,"",-99999,99999,1,1
NCT04347954,NCT04347954,1,0,21605042,Corticosteroids,Drug,0,,148,167,intranasal steroids,within two days of enrollment,2,"",-99999,99999,1,1
NCT04193878,NCT04193878,1,0,45876226,Heart rate,Measurement,0,870813574,1747,1757,heart rate,within last 4 hours,0,> 130 bpm,130,99999,1,1
NCT04308668,NCT04308668,1,0,19044695,Lanoxin,Drug,0,870819174,829,836,Lanoxin,Current,10000,"",-99999,99999,1,1
NCT04380688,NCT04380688,1,0,929887,lansoprazole,Drug,0,870948874,2089,2101,lansoprazole,"",0,"",-99999,99999,1,1
NCT04308668,NCT04308668,1,0,19000498,Mefloquine,Drug,0,870819274,1110,1120,mefloquine,Current,10000,"",-99999,99999,1,1
NCT04384445,NCT04384445,1,0,4273104,Hepatitis C antibody measurement,Measurement,0,870954574,2683,2694,hepatitis C,"",0,positive,-99999,99999,1,1
NCT03648372,NCT03648372_covid,1,0,4215716,Hepatitis C viral load,Measurement,0,870805674,8043,8075,hepatitis C infection viral load,"",0,detectable,-99999,99999,1,1
NCT03648372,NCT03648372_other,2,0,4215716,Hepatitis C viral load,Measurement,0,870806974,8043,8075,hepatitis C infection viral load,"",0,detectable,-99999,99999,1,1
NCT04368728,NCT04368728_1,1,0,4273104,Hepatitis C antibody measurement,Measurement,0,870924274,3357,3395,hepatitis C virus antibodies (HCV Abs),at the screening visit,0,Positive,-99999,99999,1,1
NCT04283461,NCT04283461,1,0,4273104,Hepatitis C antibody measurement,Measurement,0,870816174,8901,8927,hepatitis C virus antibody,at screening,0,positive,-99999,99999,1,1
NCT04380961,NCT04380961,1,0,4261078,Calculation of international normalized ratio,Measurement,0,,3678,3714,international normalized ratio (INR),>24 hours at time of screening,1,"",-99999,99999,1,1
NCT04380961,NCT04380961,1,0,3027172,Left ventricular Ejection fraction,Measurement,0,,2236,2270,left ventricular ejection fraction,>24 hours at time of screening,1,"",-99999,99999,1,1
NCT04363437,NCT04363437,1,0,42900760,P-glycoprotein inhibitors,Drug,0,870914074,1741,1755,P-gp Inhibitor,"",0,"",-99999,99999,1,1
NCT04350476,NCT04350476,1,1,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,49,60,coronavirus,"",0,"",-99999,99999,0,0
NCT04333225,NCT04333225,1,0,1750461,Praziquantel,Drug,0,870843074,1614,1626,praziquantel,"",0,"",-99999,99999,1,1
NCT04388605,NCT04388605,1,0,4299535,Patient currently pregnant,Condition,1,,146,155,pregnancy,"",0,"",-99999,99999,0,0
NCT04390503,NCT04390503_C,2,0,37311061,Disease caused by severe acute respiratory syndrome coronavirus 2,Condition,0,,4329,4337,COVID-19,at the screening visit,0,"",-99999,99999,1,0
NCT04388683,NCT04388683,1,0,4299535,Patient currently pregnant,Condition,0,,1491,1500,Pregnancy,"",0,"",-99999,99999,1,0
NCT04193878,NCT04193878,1,0,4299535,Patient currently pregnant,Condition,0,,2028,2037,Pregnancy,"",0,"",-99999,99999,1,0
NCT04278404,NCT04278404,1,0,4299535,Patient currently pregnant,Condition,0,,358,367,pregnancy,within the previous 24 hours,1,"",-99999,99999,1,0
NCT04280705,NCT04280705,1,0,4299535,Patient currently pregnant,Condition,0,870814274,1758,1767,Pregnancy,"",0,"",-99999,99999,1,0
NCT04311177,NCT04311177,1,0,4299535,Patient currently pregnant,Condition,0,,490,499,Pregnancy,dehydration,0,"",-99999,99999,1,0
NCT04311697,NCT04311697,1,0,4299535,Patient currently pregnant,Condition,0,,173,182,Pregnancy,within last 6 months,180,"",-99999,99999,1,0
NCT04312009,NCT04312009,1,0,4299535,Patient currently pregnant,Condition,0,870821174,694,703,Pregnancy,"",0,"",-99999,99999,1,0
NCT04332107,NCT04332107,1,1,4299535,Patient currently pregnant,Condition,1,,736,744,pregnant,currently,10000,"",-99999,99999,1,0
NCT04333225,NCT04333225,1,0,4299535,Patient currently pregnant,Condition,0,870843874,2252,2260,pregnant,"",0,"",-99999,99999,1,0
NCT04333654,NCT04333654,1,0,4299535,Patient currently pregnant,Condition,0,870844274,783,791,pregnant,"",0,"",-99999,99999,1,0
NCT04334382,NCT04334382,1,0,4299535,Patient currently pregnant,Condition,0,870847374,1189,1197,Pregnant,"",0,"",-99999,99999,1,0
NCT04334460,NCT04334460,1,0,4299535,Patient currently pregnant,Condition,0,870848274,3457,3465,pregnant,"",0,"",-99999,99999,1,0
